year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1991,21740,1,8,51.669,0.8496594088875326,50.77,2.39
1991,21740,1,9,51.425,0.6470316839228198,51.37,2.21
1991,21740,1,10,51.561,0.4915836088036743,52.1,2.65
1991,21740,1,11,51.628,0.9463003986284924,51.78,2.86
1991,21740,1,12,51.89300000000001,0.8038110612713806,51.1,2.15
1991,21740,1,13,51.641999999999996,0.773833171799826,51.62,2.01
1991,21740,1,14,51.489,0.997746906228673,52.21,2.89
1991,21740,1,15,51.67099999999999,0.6549037249007608,52.07,3.06
1991,21740,1,16,52.19875,2.632507970412571,53.03,3.12
1991,21740,1,17,51.60142857142857,1.3398187510683244,53,0
1991,21740,1,18,51.57500000000001,2.940141153074117,50,0
1991,21740,1,19,50.29666666666666,1.884692724734371,51.79,2.48
1991,21740,1,20,50.115,1.0390219760268145,49.7,1.49
1991,21740,1,21,48.94,NA,50,0
1991,21740,1,22,48,NA,NA,NA
1991,21740,2,1,30,0,NA,NA
1991,21740,2,2,32.02777777777778,1.2514868934369408,31.85,1.95
1991,21740,2,3,39.00599999999999,1.6207899308670446,37.58,3.21
1991,21740,2,4,46.134,0.7328058709129212,45.89,3.09
1991,21740,2,5,49.175,1.2268681899680813,48.2,3.79
1991,21740,2,6,51.845000000000006,1.2522712698666112,52.79,2.53
