year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2007,21740,2,11,62.601484716157195,3.0973776550237284,63.77,3.71
2007,21740,2,12,63.31433420365538,3.8087319093269714,69,0
2007,21740,2,13,62.55824034334765,3.6639807695888797,60,0
2007,21740,2,14,62.57818181818182,4.135705387138652,NA,NA
2007,21740,2,15,62.46048780487805,3.7399932828947113,NA,NA
2007,21740,2,16,60.916666666666664,2.6097137890209456,NA,NA
2007,21740,2,17,62.42857142857143,4.157609203101499,NA,NA
2007,21740,2,18,60,NA,NA,NA
2007,21740,2,19,69,NA,NA,NA
2007,21740,3,1,14.085079999999998,0.20040288479077573,14.09,1.59
2007,21740,3,2,15.893820000000009,1.5353546285046138,20.15,1.54
2007,21740,3,3,22.37874692874693,2.483704458024741,27,0
2007,21740,3,4,25.135,2.8189433802086055,NA,NA
2007,21740,3,5,27,0,NA,NA
2007,21740,3,6,27,NA,NA,NA
2007,21740,4,1,14.60834958669233,0.22972032604140094,14.554646098157548,1.7533974552350982
2007,21740,4,2,26.507434724468926,0.7597003159209843,26.48518821961357,2.8372844595449194
2007,21740,4,3,34.66010911006938,1.134441919507785,34.56003185742445,4.562804095404603
2007,21740,4,4,41.84157993919877,1.4692384079555019,42.65116937324538,5.155624979124146
2007,21740,4,5,49.45685411168839,1.558299337243003,50.617159287093074,4.269635103972537
2007,21740,4,6,54.741145714064174,0.9719164492524612,54.22859630545063,3.95264539058927
2007,21740,4,7,56.47676636412393,0.6499929233740926,56.691441875333005,3.7375030988421045
2007,21740,4,8,57.17094383962358,0.8572903897328371,57.48273590699215,4.071439117917677
2007,21740,4,9,58.45548027877339,1.3081913520393063,61.150449195231644,3.061394186846153
2007,21740,4,10,59.156741406954396,1.8502858638617359,59.05202363533051,1.7317986950821267
2007,21740,4,11,60.14397744157189,2.6409074222232576,61.37876592304339,3.0343814830186093
2007,21740,4,12,61.01811138383898,3.212384102878818,62.71484890895113,0
2007,21740,4,13,61.468854457875274,2.960168561136002,62.059992815660785,0
2007,21740,4,14,61.9315613430563,3.4360334862392232,NA,NA
2007,21740,4,15,62.03057319699524,2.8891884804671197,NA,NA
2007,21740,4,16,60.99526531633158,2.7911517203682368,NA,NA
2007,21740,4,17,62.5,3.854496446637726,NA,NA
2007,21740,4,18,60,NA,NA,NA
2007,21740,4,19,64.5,6.363961030678928,NA,NA
2007,21740,4,20,56,NA,NA,NA
2009,21740,0,1,15.20966,0.4079226472903223,15.13,2.41
2009,21740,0,2,30.679619999999993,1.2286162343476523,30.54,3.43
2009,21740,0,3,39.96071999999999,1.067947050844195,39.19,4.14
2009,21740,0,4,47.63978000000001,0.8531691196318503,47.8,5.02
2009,21740,0,5,51.02611999999996,0.9452779731343506,51.28,5.7
2009,21740,0,6,54.85364000000005,1.2369562935464973,56.53,5.46
2009,21740,0,7,59.36098,1.1902020001673685,59.39,3.75
2009,21740,0,8,61.79468000000001,1.0105295827809055,61.45,5.09
2009,21740,0,9,62.59610000000002,0.8953801434041325,62.79,4.75
2009,21740,0,10,62.74776,0.9693644915277586,63.42,4.46
2009,21740,0,11,62.663319999999985,1.2158860701031746,62.18,4.66
2009,21740,0,12,62.556580000000025,1.598927027377346,64.24,5.54
2009,21740,0,13,62.787900000000015,1.8809316835004914,62.06,3.44
2009,21740,0,14,63.38528806584361,2.5104479863372404,64.1,2.89
2009,21740,0,15,63.95690026954179,3.394491617116708,NA,NA
2009,21740,0,16,64.1291975308642,3.451583483647779,NA,NA
2009,21740,0,17,64.51137931034482,3.8034681534029433,NA,NA
2009,21740,0,18,64.9504347826087,3.310829995169942,NA,NA
2009,21740,0,19,62.4725,4.4889093489239835,NA,NA
2009,21740,0,20,65.388,3.2185048288503983,NA,NA
2009,21740,1,1,16.687820000000006,0.6091942899978068,16.77,2.97
2009,21740,1,2,31.474600000000056,1.2082659696054563,30.87,3.43
2009,21740,1,3,40.01808,1.3388408805406316,39.11,4.19
2009,21740,1,4,46.96112,0.8800566715218857,47.08,4.72
2009,21740,1,5,49.520380000000024,1.0872465524118542,49.58,5.18
2009,21740,1,6,53.06258000000004,1.5222091133512303,54.79,5.16
2009,21740,1,7,57.58931999999998,1.4872497305840215,58.54,3.4
2009,21740,1,8,59.228240000000014,1.121080436494269,59.7,3.58
2009,21740,1,9,59.69001999999998,0.9744901547596295,60.01,4.31
2009,21740,1,10,59.92023999999999,1.110685006997726,60.71,2.86
2009,21740,1,11,59.75699398797599,1.5425554418329481,58.02,3.12
2009,21740,1,12,60.296297786720345,1.8854286262525748,60.27,2.46
2009,21740,1,13,60.905433884297516,1.9344856683373712,60.57,2.66
2009,21740,1,14,61.8402606635071,2.221455019171429,62.74,1.55
2009,21740,1,15,61.99669014084505,2.7230674664092027,NA,NA
2009,21740,1,16,62.160249999999984,2.7039464711764065,NA,NA
2009,21740,1,17,62.21205882352941,2.164921132879083,NA,NA
2009,21740,1,18,63.4775,2.50068923832344,NA,NA
2009,21740,1,19,61.25454545454545,2.998787633815918,NA,NA
2009,21740,1,20,63.51666666666667,5.775018037489868,NA,NA
2009,21740,2,1,16.6323,0.6011242889965795,16.64,2.72
2009,21740,2,2,31.80694000000003,1.1903260850613815,30.67,3.18
2009,21740,2,3,40.52716000000003,1.3211177990163314,39.46,3.85
2009,21740,2,4,48.42566000000001,1.0726408911479768,48.46,5.26
2009,21740,2,5,52.374,1.1523255218107566,52.72,5.74
2009,21740,2,6,56.19174000000003,1.6595208921803803,57.78,5.22
2009,21740,2,7,60.783520000000046,1.6157940433052604,60.25,4.33
2009,21740,2,8,63.02776000000004,1.3649010558221313,62.54,5.38
2009,21740,2,9,63.73434000000001,1.1744095708398155,63.94,4.29
2009,21740,2,10,63.92515999999994,1.2046705095057926,64.32,4.4
2009,21740,2,11,63.92141999999998,1.4116455894240172,63.66,4.16
2009,21740,2,12,64.40455999999992,2.122385980659928,66.54,5.41
2009,21740,2,13,64.86339506172837,2.7608113621950063,64.92,2.94
2009,21740,2,14,65.96037313432838,3.279599469200268,67.09,2.86
2009,21740,2,15,66.3854,3.6666852555206058,NA,NA
2009,21740,2,16,66.00868686868688,4.235349453443599,NA,NA
2009,21740,2,17,65.38000000000001,2.7372437685153037,NA,NA
2009,21740,2,18,67.47058823529412,3.0231946484394516,NA,NA
2009,21740,2,19,68.66666666666667,4.041451884327381,NA,NA
2009,21740,2,20,65.29249999999999,3.585967691671843,NA,NA
2009,21740,3,1,14.204159999999991,0.41621432354767957,14.28,1.56
2009,21740,3,2,17.019255533199193,3.820908845331069,24.88,1.29
2009,21740,3,3,33.09949685534592,13.352873309275227,27,0
2009,21740,3,4,57.7173597359736,9.102038322002091,60.32,3.39
2009,21740,3,5,61.90365930599366,2.1785700768538083,61.6,3.64
2009,21740,3,6,63.28031446540877,1.5482037710109178,62.84,2.43
2009,21740,3,7,64.58836990595611,1.0834921301387626,63.47,3.28
2009,21740,3,8,65.37652037617559,0.7725288002560262,65.16,2.57
2009,21740,3,9,65.512664576802507,0.705913109352056,65.83,2.65
2009,21740,3,10,65.473605015674,0.711944264637062,65.29,2.29
2009,21740,3,11,65.24172413793107,0.9542285100786785,65.46,2.18
2009,21740,3,12,64.88848101265827,1.518475290929077,65.18,3.17
2009,21740,3,13,64.50926910299005,2.0065803740050367,63.76,0.43
2009,21740,3,14,64.87991452991454,1.5610324500983566,65.4,0.49
2009,21740,3,15,64.70939597315437,1.9005547654488046,NA,NA
2009,21740,3,16,64.91829787234042,1.3672192011984803,NA,NA
2009,21740,3,17,65.47826086956522,1.5629100252527568,NA,NA
2009,21740,3,18,65.5,1.4337208778404378,NA,NA
2009,21740,3,19,65.5,3.5355339059327378,NA,NA
2009,21740,3,20,66.218,1.2842974733292913,NA,NA
2009,21740,4,1,15.1226384702106,0.3807910360673705,15.125188106479232,2.0095627562222127
2009,21740,4,2,31.090389600585084,1.2903700245204688,30.75722457192652,3.3076617685896035
2009,21740,4,3,40.29530024262912,1.1583369885898736,39.308474282484305,3.9966022667664483
2009,21740,4,4,47.77056012465695,0.8387272484608335,47.84580010936734,5.019505317465305
2009,21740,4,5,51.12551890132236,0.9354009010695638,51.340937237042695,5.4938145553022055
2009,21740,4,6,54.82137236190127,1.3129424853852882,56.53522118961543,5.194227776479186
2009,21740,4,7,59.40814483048324,1.223284896467934,59.36414177713497,3.8464884860021664
2009,21740,4,8,61.711694291279414,1.012531454407926,61.54381767776301,4.743495075142715
2009,21740,4,9,62.47346270009082,0.8848514352395173,62.71471652953201,4.294394440374808
2009,21740,4,10,62.75800132157434,0.934655351126997,63.40484030816246,4.00667865507937
2009,21740,4,11,62.603772099908895,1.1796363320791297,62.262746916861154,3.8998177009375157
2009,21740,4,12,62.799312041627026,1.6654333571240452,64.36753173297986,4.386347242186368
2009,21740,4,13,62.85166520220098,1.9264880365598496,62.25056382171465,2.766712760903508
2009,21740,4,14,63.647300600607004,2.67933532493485,64.29070498432549,2.0144841468617245
2009,21740,4,15,63.919283324596975,3.351079387724707,NA,NA
2009,21740,4,16,64.22774457068556,3.9197836357461853,NA,NA
2009,21740,4,17,63.81046829004491,2.8578936383514186,NA,NA
2009,21740,4,18,65.45855669606192,3.2381732644657797,NA,NA
2009,21740,4,19,63.01699629243542,4.232115682997139,NA,NA
2009,21740,4,20,64.72834668917885,3.9227230692452535,NA,NA
2011,21740,0,1,16.563260000000003,0.5664939569019363,16.53,2.53
2011,21740,0,2,31.99376000000002,0.8582053923104779,32.19,3.54
2011,21740,0,3,39.147919999999985,0.9938220354148686,38.95,4.31
2011,21740,0,4,46.08902000000001,0.8997748769878591,45.81,4.43
2011,21740,0,5,51.67427999999997,0.6304962590415035,51.65,4.72
2011,21740,0,6,55.39703999999997,0.7270174324555007,56.29,4.77
2011,21740,0,7,57.29895999999994,0.9649991529168617,58.5,4
2011,21740,0,8,59.36980000000002,1.4327352234243709,60.36,3.77
2011,21740,0,9,62.61426000000001,1.4784486711910878,63.79,3.53
2011,21740,0,10,63.99103999999999,1.2296385404990207,65.3,3.96
2011,21740,0,11,63.891880000000036,1.1976033454972863,64.85,3.99
2011,21740,0,12,63.34721442885774,1.5904290977507023,62.71,3.56
2011,21740,0,13,63.19311158798282,2.4690453460507116,NA,NA
2011,21740,0,14,63.45967320261437,3.4042626930096405,NA,NA
2011,21740,0,15,64.08008695652178,2.505877804920178,NA,NA
2011,21740,0,16,64.98295081967213,1.8954042257224941,65,0
2011,21740,0,17,64.62444444444445,2.301479793187838,NA,NA
2011,21740,0,18,64.21772727272727,2.3826794277475214,NA,NA
2011,21740,0,19,63.473571428571425,2.6334113796567173,NA,NA
2011,21740,0,20,64.77,0.6505382386916249,NA,NA
2011,21740,0,24,65,0,NA,NA
2011,21740,1,1,17.04368,0.5735866638284434,17.01,2.33
2011,21740,1,2,32.52454000000001,1.0342968279253848,32.73,3.29
2011,21740,1,3,38.88949999999999,1.2758612753696916,38.68,4.45
2011,21740,1,4,44.62568,1.166735394406599,43.92,3.83
2011,21740,1,5,50.353819999999985,0.8878223158543934,50.18,4.59
2011,21740,1,6,53.668120000000044,0.9730004755656092,54.59,4.62
2011,21740,1,7,55.8104,1.417958763190318,57.39,4.39
2011,21740,1,8,57.37869999999997,2.085704205794325,58.27,4
2011,21740,1,9,59.961595959595925,2.598762878830714,62.83,2.48
2011,21740,1,10,61.24993939393937,2.008039055029035,62.59,4.32
2011,21740,1,11,61.431616161616176,1.6267467765580226,62.22,3.01
2011,21740,1,12,61.24589795918365,2.098453639880551,61.1,3.28
2011,21740,1,13,61.26884718498662,2.7703519652800495,NA,NA
2011,21740,1,14,61.33265624999999,2.987627317984109,NA,NA
2011,21740,1,15,61.43068965517242,3.2249922410182554,NA,NA
2011,21740,1,16,61.18578947368421,3.6247993289889298,NA,NA
2011,21740,1,17,61.46777777777778,3.911437644197392,NA,NA
2011,21740,1,18,61.666666666666664,0.5773502691896258,NA,NA
2011,21740,1,19,60,4.358898943540674,NA,NA
2011,21740,1,20,56,NA,NA,NA
2011,21740,2,1,16.97735999999999,0.5338286020369323,17.05,2.37
2011,21740,2,2,32.08885999999999,1.1094968530527105,32.07,3.6
2011,21740,2,3,39.515800000000006,1.192471860580598,39.11,4.24
2011,21740,2,4,47.47078000000004,0.9617375264278081,47.23,4.27
2011,21740,2,5,52.80156000000004,0.7956011115234283,52.71,4.64
2011,21740,2,6,56.67518000000004,0.8386032903328691,57.54,4.38
2011,21740,2,7,58.49028000000001,1.0496950227955562,59.45,3.45
2011,21740,2,8,60.54121999999999,1.672153493616069,61.86,2.8
2011,21740,2,9,63.514979999999966,1.7240418905818276,63.95,3.91
2011,21740,2,10,64.99750000000002,1.4970589571029205,65.99,3.46
2011,21740,2,11,65.40685370741484,1.5087625986075848,66.5,3.33
2011,21740,2,12,64.74767535070136,2.1275016474383843,63.82,3.48
2011,21740,2,13,64.67147500000002,2.9016475441637257,NA,NA
2011,21740,2,14,64.77663865546221,3.3089555702556073,NA,NA
2011,21740,2,15,65.29090425531916,2.2185900835211476,NA,NA
2011,21740,2,16,65.10506024096385,1.0575155257763942,65,0
2011,21740,2,17,64.84024691358024,1.332996600997769,NA,NA
2011,21740,2,18,64.83727272727273,0.6138805670888682,NA,NA
2011,21740,2,19,64,1.0954451150103321,NA,NA
2011,21740,2,20,65.625,2.1998376563477846,NA,NA
2011,21740,2,24,65,0,NA,NA
2011,21740,3,1,13.979519999999994,0.20669885930230422,13.93,1.49
2011,21740,3,2,21.969219999999993,4.048453425924987,27.59,2.36
2011,21740,3,3,27.7451287553648,1.6705702086701062,28.34,1.9
2011,21740,3,4,28.184088050314458,1.7247825817254157,NA,NA
2011,21740,3,5,29,1.224744871391589,NA,NA
2011,21740,3,8,27.666666666666668,2.5166114784235836,NA,NA
2011,21740,4,1,16.496296097854337,0.5747445311650318,16.52279509472548,2.208995043398994
2011,21740,4,2,32.17028723541015,0.9072077675241559,32.36084380597381,3.4372622315300543
2011,21740,4,3,39.23288099567106,1.0392506587304,38.92149709381829,4.328017730064701
2011,21740,4,4,46.27385164111668,0.8724060756361562,45.85812061151748,4.087635368298396
2011,21740,4,5,51.687498389749855,0.6965209499382174,51.535659053454154,4.616791680898303
2011,21740,4,6,55.3808546773864,0.7401352737055116,56.30528369782307,4.4804514957703265
2011,21740,4,7,57.36521135715939,0.9662167724685107,58.574733415343466,3.849393490085991
2011,21740,4,8,59.2913771160419,1.5056906377405546,60.281192275835195,3.327735172422777
2011,21740,4,9,62.49186282032533,1.613737851256177,63.73688336709971,3.6378957276362294
2011,21740,4,10,63.806346614404,1.174722595586251,65.4889896980491,3.5867261351993447
2011,21740,4,11,63.80901220268949,1.2823717481187713,64.669118398337,3.19311165595043
2011,21740,4,12,63.156156921443866,1.7234452111829555,62.34696352646933,3.371688494593333
2011,21740,4,13,63.0207100092697,2.7040492436010277,NA,NA
2011,21740,4,14,63.396564429722574,3.3701642254778568,NA,NA
2011,21740,4,15,64.48902480421589,2.684638740329559,NA,NA
2011,21740,4,16,64.79031664377764,1.4570899775826531,65,0
2011,21740,4,17,64.56374142060388,1.6550893860406954,NA,NA
2011,21740,4,18,64.53027635671243,1.1694528809106468,NA,NA
2011,21740,4,19,62.625,3.2923070504261465,NA,NA
2011,21740,4,20,64.55555555555556,3.811532208676424,NA,NA
2011,21740,4,24,65,0,NA,NA
2013,21740,0,1,14.479079999999996,0.4322624842738741,14.36,2.18
2013,21740,0,2,28.51482000000001,1.7212685142639403,30.59,3.1
2013,21740,0,3,39.557720000000025,2.1257754924942045,39.13,6.17
2013,21740,0,4,48.96725999999998,1.3345391271010105,48.69,4.76
2013,21740,0,5,53.08905999999999,0.6695244898321268,52.45,3.44
2013,21740,0,6,55.447440000000014,0.5246843181069305,55.15,3.57
2013,21740,0,7,57.01651999999999,0.6028654768406736,57.27,4.08
2013,21740,0,8,57.98301999999999,0.6286349046040739,58.33,3.77
2013,21740,0,9,58.7147,0.9493172897578903,59.71,4.21
2013,21740,0,10,59.63475999999997,1.6162873854065831,62.39,4.08
2013,21740,0,11,61.340425963488876,2.870166424789893,64.56,5.2
2013,21740,0,12,62.116646341463415,3.082001613224325,62.08,5.42
2013,21740,0,13,63.382958333333356,3.2016087420049306,62.92,3.34
2013,21740,0,14,64.85017130620986,2.9984029319397734,66.06,2.3
2013,21740,0,15,65.89047752808985,2.9029801194878133,NA,NA
2013,21740,0,16,66.53580419580419,2.184707588153783,67.15,0.99
2013,21740,0,17,67.13613095238095,1.8218881847136197,NA,NA
2013,21740,0,18,66.7887037037037,1.8317689628317133,NA,NA
2013,21740,0,19,66.06166666666667,3.5243994064904998,NA,NA
2013,21740,0,20,66.11111111111111,3.8873012632302,NA,NA
2013,21740,0,24,68,0,NA,NA
2013,21740,1,1,14.426419999999997,0.40504902545994614,14.32,2.12
2013,21740,1,2,27.415940000000003,2.4625533200538454,30.44,3
2013,21740,1,3,38.516220000000004,2.722145562700323,37.57,5.94
2013,21740,1,4,47.86254000000003,1.6374376790294678,47.54,4.35
2013,21740,1,5,51.52669999999999,0.8444716542013114,50.6,3.34
2013,21740,1,6,53.92582000000006,0.6532348422414687,53.5,2.89
2013,21740,1,7,55.476780000000026,0.773851098497179,55.84,3.95
2013,21740,1,8,56.18032,0.78759946892243,56.62,3.52
2013,21740,1,9,56.92908000000002,1.3819397485191147,58.46,4.29
2013,21740,1,10,58.14305220883536,2.23663936637457,61.22,4.52
2013,21740,1,11,59.28903640256957,2.840844063343541,60.82,1.99
2013,21740,1,12,59.554009111617326,2.387321412175358,58.38,1.96
2013,21740,1,13,60.58907692307694,2.456794192876133,61.27,2.4
2013,21740,1,14,61.749706959706955,3.100049914539314,NA,NA
2013,21740,1,15,64.66845070422535,3.7410112213872866,NA,NA
2013,21740,1,16,66.76516778523492,2.680665408526157,68,0
2013,21740,1,17,67.61382716049383,1.7568398958792708,NA,NA
2013,21740,1,18,67.02074074074073,2.560513659293814,NA,NA
2013,21740,1,19,65,5.5549205986353085,NA,NA
2013,21740,1,20,67.8,0.44721359549995793,NA,NA
2013,21740,1,24,68,0,NA,NA
2013,21740,2,1,14.464880000000003,0.4516744460454021,14.32,2.17
2013,21740,2,2,28.79666000000001,2.4793186738644843,30.99,3.08
2013,21740,2,3,40.208020000000005,2.807355047785844,40.24,6.66
2013,21740,2,4,51.13178000000001,1.4676950941454967,50.33,4.52
2013,21740,2,5,54.845739999999964,0.7206824674138225,54.17,2.66
2013,21740,2,6,56.71014000000005,0.5910757324090425,56.4,3.33
2013,21740,2,7,58.56413999999998,0.5858832466946934,58.96,3.53
2013,21740,2,8,59.376479999999944,0.7213895031329891,59.79,3.42
2013,21740,2,9,59.676700000000054,1.2691516859713845,59.57,4.58
2013,21740,2,10,60.635520000000014,2.20474654876441,63.22,3.31
2013,21740,2,11,63.64957894736843,4.164534336014385,71.36,2.03
2013,21740,2,12,66.0391796008869,4.148744869489601,69.34,0.75
2013,21740,2,13,66.37792176039123,3.1898937891441497,65.75,2.99
2013,21740,2,14,66.43699999999998,2.8661400783379825,66.48,2.66
2013,21740,2,15,66.7381884057971,2.5257029942737264,NA,NA
2013,21740,2,16,66.53182741116753,1.74224570968571,66,0
2013,21740,2,17,66.29285714285714,1.5641600166412666,NA,NA
2013,21740,2,18,66.264,1.8011061735155598,NA,NA
2013,21740,2,19,65.755,0.8855224446619071,NA,NA
2013,21740,2,20,66,0,NA,NA
2013,21740,3,1,16.104319999999987,0.7173960215274453,16.24,2.4
2013,21740,3,2,19.753320000000006,5.126860987462947,32.75,5
2013,21740,3,3,43.21523684210529,1.3535557381836731,43.43,3.13
2013,21740,3,4,45.14470588235293,1.7978288347784992,45.42,3.48
2013,21740,3,5,48.328993902438995,2.2833294055555435,48.54,3.23
2013,21740,3,6,51.00637254901961,2.0538779582315856,50.93,3.35
2013,21740,3,7,51.76641196013287,2.5111907699449034,50.99,5.08
2013,21740,3,8,52.98598662207357,1.9104163290120821,53.99,0.81
2013,21740,3,9,53.08243636363637,2.0694872841143086,51.84,2.41
2013,21740,3,10,53.264133333333334,1.7432874855486957,NA,NA
2013,21740,3,11,53.8111111111111,1.3649143544444662,NA,NA
2013,21740,3,12,54.282399999999996,1.1727790357380483,NA,NA
2013,21740,3,13,53.90909090909091,1.5782614139961386,NA,NA
2013,21740,3,14,53.5,0.7071067811865476,NA,NA
2013,21740,3,15,50,NA,NA,NA
2013,21740,4,1,14.47226041692995,0.4198643953892481,14.350365433614149,2.1494189367806014
2013,21740,4,2,28.078698419916936,2.0897805869350576,30.72863878944896,3.0429414731215836
