year,region,species_code,sex,sex_desc,iss,nss,nhls
1993,wcgoa,21720,0,total_pre,1057.8597500914973,17010,428
1993,wcgoa,21720,1,male,690.7993232241928,8217,411
1993,wcgoa,21720,2,female,750.6761840132014,8330,413
1993,wcgoa,21720,4,total_post,1057.8598925085962,17010,428
1993,wcgoa,21720,12,female_male,1432.3038160357157,16547,427
1993,wcgoa,21740,0,total_pre,716.6586746842818,30026,376
1993,wcgoa,21740,1,male,343.2602564310162,12395,348
1993,wcgoa,21740,2,female,538.9391482052263,16449,352
1993,wcgoa,21740,4,total_post,716.6586195469432,30026,376
1993,wcgoa,21740,12,female_male,853.7216547353677,28844,369
1993,wcgoa,30060,0,total_pre,271.95277245583793,10013,161
1993,wcgoa,30060,1,male,301.58893959566706,5339,150
1993,wcgoa,30060,2,female,276.3309737688201,4541,151
1993,wcgoa,30060,4,total_post,271.9527773531261,10013,161
1993,wcgoa,30060,12,female_male,588.845446165666,9880,160
1993,wcgoa,30420,0,total_pre,157.25142445924862,4384,106
1993,wcgoa,30420,1,male,117.5022832253289,2252,99
1993,wcgoa,30420,2,female,102.92595086846916,2132,91
1993,wcgoa,30420,4,total_post,157.2514023261219,4384,106
1993,wcgoa,30420,12,female_male,197.5196330558564,4384,106
1996,egoa,10110,0,total_pre,1911.3249160685966,14421,202
1996,egoa,10110,1,male,758.6834705375818,5741,191
1996,egoa,10110,2,female,1336.7035672341844,8668,200
1996,egoa,10110,4,total_post,1911.3250282609474,14421,202
1996,egoa,10110,12,female_male,1958.988618672508,14409,202
1996,egoa,10130,0,total_pre,755.463828758952,2783,84
1996,egoa,10130,1,male,466.8050992644377,1363,81
1996,egoa,10130,2,female,403.969595610503,1409,76
1996,egoa,10130,4,total_post,755.4638424751579,2783,84
1996,egoa,10130,12,female_male,836.8172093779827,2772,84
1996,egoa,10180,0,total_pre,1085.8643160916747,3779,161
1996,egoa,10180,1,male,623.6035684673212,2005,134
1996,egoa,10180,2,female,553.287091823004,1774,150
1996,egoa,10180,4,total_post,1085.8659872930443,3779,161
1996,egoa,10180,12,female_male,1032.56996556097,3779,161
1996,egoa,10200,0,total_pre,908.4401189082599,6610,178
1996,egoa,10200,1,male,702.3057566686354,4289,164
1996,egoa,10200,2,female,543.2023832589529,2318,168
1996,egoa,10200,4,total_post,908.4399168696929,6610,178
1996,egoa,10200,12,female_male,1116.97089927309,6607,178
1996,egoa,10262,0,total_pre,120.69899798641993,291,23
1996,egoa,10262,1,male,40.29297320821789,74,16
1996,egoa,10262,2,female,87.51383169378583,217,23
1996,egoa,10262,4,total_post,120.69897131476327,291,23
1996,egoa,10262,12,female_male,110.80229282027143,291,23
1996,egoa,20510,0,total_pre,340.79845471558366,1479,141
1996,egoa,20510,1,male,198.07072771698523,787,121
1996,egoa,20510,2,female,174.63676303118882,691,117
1996,egoa,20510,4,total_post,340.7987545393406,1479,141
1996,egoa,20510,12,female_male,363.2030861751837,1478,140
1996,egoa,21720,0,total_pre,98.84012002804164,464,91
1996,egoa,21720,1,male,66.13685390732985,227,67
1996,egoa,21720,2,female,66.1669097784133,235,65
1996,egoa,21720,4,total_post,98.8400336580321,464,91
1996,egoa,21720,12,female_male,135.1634441243788,462,90
1996,egoa,21740,0,total_pre,57.1840016617774,15258,170
1996,egoa,21740,1,male,56.91535788855226,5953,157
1996,egoa,21740,2,female,70.96420175013259,6304,160
1996,egoa,21740,4,total_post,57.184004267391515,15258,170
1996,egoa,21740,12,female_male,130.13020790180508,12257,167
1996,egoa,30060,0,total_pre,90.05703492961214,10263,106
1996,egoa,30060,1,male,72.58125115510451,5143,97
1996,egoa,30060,2,female,92.33880487362542,5091,99
1996,egoa,30060,4,total_post,90.0570343508881,10263,106
1996,egoa,30060,12,female_male,166.4643867089004,10234,105
1996,egoa,30420,0,total_pre,16.68452439785626,36,12
1996,egoa,30420,1,male,8.792462990250861,17,10
1996,egoa,30420,2,female,14.724220038163212,19,8
1996,egoa,30420,4,total_post,16.684521265602886,36,12
1996,egoa,30420,12,female_male,18.36862862046638,36,12
