year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,21740,0,10,63.666666666666664,2.309401076758503,NA,NA
1990,egoa,21740,0,11,62.6,2.1908902300206643,NA,NA
1990,egoa,21740,0,12,62.8525,1.5989259788102403,62.33,1.55
1990,egoa,21740,0,13,64.878,4.70860064137956,62,0
1990,egoa,21740,0,14,64.595,3.9875263844477176,73,0
1990,egoa,21740,0,15,63.666666666666664,1.1547005383792517,NA,NA
1990,egoa,21740,0,16,73,NA,NA,NA
1990,egoa,21740,0,17,62,NA,NA,NA
1990,egoa,21740,1,1,22.307142857142857,2.98222911195476,21,0
1990,egoa,21740,1,2,29.945,0.6725118751533116,27.84,3.73
1990,egoa,21740,1,3,33.08111111111111,2.1619345760478295,34.01,0.86
1990,egoa,21740,1,4,34.922000000000004,2.2859177588006094,34,0
1990,egoa,21740,1,5,36.675000000000004,2.5562452933942006,39,0
1990,egoa,21740,1,6,39,NA,NA,NA
1990,egoa,21740,1,9,61,NA,NA,NA
1990,egoa,21740,1,11,61,0,NA,NA
1990,egoa,21740,1,12,61.4275,0.5076333979031195,61,0
1990,egoa,21740,1,13,62,0,62,0
1990,egoa,21740,1,17,61.83,NA,NA,NA
1990,egoa,21740,2,1,24.375,3.8521793460696654,22,0
1990,egoa,21740,2,2,29.566999999999997,1.4080092329242733,28.83,2.96
1990,egoa,21740,2,3,31.16125,2.0489818900405847,32.7,1.98
1990,egoa,21740,2,4,37.892,0.2414953415699769,38,0
1990,egoa,21740,2,5,38,NA,NA,NA
1990,egoa,21740,2,10,64.52666666666666,0.8198373822492696,NA,NA
1990,egoa,21740,2,11,64.535,0.9299999999999997,NA,NA
1990,egoa,21740,2,12,66.14285714285714,3.0237157840738176,63.83,0.99
1990,egoa,21740,2,13,68.5825,5.146250253015944,NA,NA
1990,egoa,21740,2,14,73,NA,73,0
1990,egoa,21740,2,15,63,0,NA,NA
1990,egoa,21740,3,1,22.425,2.8514407385941385,21.12,0.33
1990,egoa,21740,3,2,27.507777777777775,1.8109926682470152,26.41,2.67
1990,egoa,21740,3,3,27.423333333333332,2.967765714023486,NA,NA
1990,egoa,21740,4,1,22.628068140866343,2.5701075507055697,21.2751374640003,0.018108614042929138
1990,egoa,21740,4,2,29.42960174008392,0.9021251811756518,28.25489015687693,3.2692595233266357
1990,egoa,21740,4,3,31.613848219996708,2.2504817941992217,33.579201561079856,1.2283162225882112
1990,egoa,21740,4,4,36.145068624753655,1.6185891210984873,35.51777499704198,0
1990,egoa,21740,4,5,36.71522308640197,2.5140839110954216,39,0
1990,egoa,21740,4,6,39,NA,NA,NA
1990,egoa,21740,4,9,61,NA,NA,NA
1990,egoa,21740,4,10,64.52666666666666,0.8198373822492696,NA,NA
1990,egoa,21740,4,11,63.76826435991753,1.7293745424397495,NA,NA
1990,egoa,21740,4,12,65.19150238700492,3.5393817783611285,63.61271622164623,0.9139890669363135
1990,egoa,21740,4,13,67.23080564346404,5.374131156007813,62,0
1990,egoa,21740,4,14,73,NA,73,0
1990,egoa,21740,4,15,63,0,NA,NA
1990,egoa,21740,4,17,61.830000000000005,NA,NA,NA
1990,egoa,30060,0,1,16,2.8284271247461903,NA,NA
1990,egoa,30060,0,2,19.093333333333334,0.9914383490666482,16.8,1.67
1990,egoa,30060,0,3,21.823,1.4212048878797638,19.57,1.52
1990,egoa,30060,0,4,24.450000000000003,0.3868103181434309,24.2,1.72
1990,egoa,30060,0,5,26.487000000000002,0.5414804808218955,26.32,1.97
1990,egoa,30060,0,6,28.919999999999998,1.0274672203476323,28.57,2.59
1990,egoa,30060,0,7,30.361,0.9864239566343788,30.69,3.01
1990,egoa,30060,0,8,32.311,0.8216169694233707,32.03,3.24
1990,egoa,30060,0,9,34.059,0.7810455954822509,34.25,2.48
1990,egoa,30060,0,10,35.094,0.4685485863576771,35.57,2.32
1990,egoa,30060,0,11,36.016,0.5829655983751436,36.4,2.77
1990,egoa,30060,0,12,36.897000000000006,0.5429763653542692,36.01,2.55
1990,egoa,30060,0,13,37.65599999999999,0.3838749796483217,38.14,2.44
1990,egoa,30060,0,14,38.284,0.4886762163687172,38.67,1.94
1990,egoa,30060,0,15,38.501999999999995,0.44678605369659546,39.15,2.14
1990,egoa,30060,0,16,38.370999999999995,1.0151677474957315,37.76,1.97
1990,egoa,30060,0,17,38.59400000000001,0.6510026454972699,38.13,1.55
1990,egoa,30060,0,18,39.117777777777775,0.756699705592941,40.83,1.44
1990,egoa,30060,0,19,39.913,1.2023222899409665,39.23,2.42
1990,egoa,30060,0,20,39.483000000000004,0.6467706102028927,40.46,2.06
