year,sex,age,agepop,mean_length,sd_length,species_code
1990,1,25,131977,55,0,3005012
1990,1,26,101665,50,0,3005012
1990,1,28,338826,44,0,3005012
1990,1,31,298540,47,0,3005012
1990,1,33,280450,48.73,0.96,3005012
1990,1,34,684457,45.53,1.68,3005012
1990,1,35,969018,45.980000000000004,1.59,3005012
1990,1,36,718745,50.45,5.21,3005012
1990,1,37,143101,49,0,3005012
1990,1,38,178785,48,0,3005012
1990,1,39,280326,42,0,3005012
1990,1,41,143101,49,0,3005012
1990,1,48,14375,73,0,3005012
1990,1,73,180961,54,0,3005012
1990,2,3,31072,15,0,3005012
1990,2,4,87150,16.29,1.98,3005012
1990,2,5,76710,17.38,1.9600000000000002,3005012
1990,2,6,157698,20.68,2,3005012
1990,2,7,1073310,28.69,4.26,3005012
1990,2,8,1173948,33.26,4.09,3005012
1990,2,9,2918720,33.42,5.39,3005012
1990,2,10,3334739,33.61,4.78,3005012
1990,2,11,1850664,33.47,5.419999999999999,3005012
1990,2,12,451663,37.2,2.48,3005012
1990,2,13,960675,39.55,3.61,3005012
1990,2,14,2208940,34.51,5.06,3005012
1990,2,15,559462,37.33,5.37,3005012
1990,2,18,184789,43,0,3005012
1990,2,19,859205,40.22,6.65,3005012
1990,2,20,184789,43,0,3005012
1990,2,21,264202,45,0,3005012
1990,2,22,147572,51,0,3005012
1990,2,24,705106,43.41,2.85,3005012
1990,2,25,49715,53,0,3005012
1990,2,26,269269,43.12,5.27,3005012
1990,2,29,429292,43.22,2.99,3005012
1990,2,30,264202,45,0,3005012
1990,2,31,337067,47.79,0.9799999999999999,3005012
1990,2,32,204725,47,0,3005012
1990,2,33,424274,46,3.55,3005012
1990,2,34,193245,48,0,3005012
1990,2,36,450369,45.02,1,3005012
1990,2,37,70094,52,0,3005012
1990,2,39,54850,54,0,3005012
1990,2,40,511474,47.16,2.26,3005012
1990,2,41,220254,44,0,3005012
1990,2,43,345256,42,0,3005012
1990,2,44,230116,46,0,3005012
1990,2,47,114930,50,0,3005012
1990,2,53,193245,48,0,3005012
1990,2,65,34760,56,0,3005012
1990,3,4,7103,15.27,2.49,3005012
1990,3,6,6444,18,0,3005012
1990,3,7,3222,18,0,3005012
1993,0,2,337257,13.550000000000002,1.56,3005012
1993,0,3,2078010,15.06,1.93,3005012
1993,0,4,677297,16.06,1.8499999999999999,3005012
1993,0,5,627999,20.14,2.58,3005012
1993,0,6,1382680,23.3,3.22,3005012
1993,0,7,1022143,24.35,4.54,3005012
1993,0,8,1324541,27.59,4.81,3005012
1993,0,9,3326984,30.89,4.98,3005012
1993,0,10,4608608,34.14,4.63,3005012
1993,0,11,4147379,35.38,5.8,3005012
1993,0,12,5503782,36.96,4.76,3005012
1993,0,13,4976629,38.72,5.24,3005012
1993,0,14,3698563,39.58,4.52,3005012
1993,0,15,3022521,40.25,5.37,3005012
1993,0,16,4141708,39.65,4.73,3005012
1993,0,17,2388184,40.63,5.12,3005012
1993,0,18,1441999,41.49,5.04,3005012
1993,0,19,1699138,41.59,4.2,3005012
1993,0,20,1164222,41.9,5.37,3005012
1993,0,21,1264018,43.94,3.8900000000000006,3005012
1993,0,22,633567,44.08,2.24,3005012
1993,0,23,1423304,44.08,3.5100000000000002,3005012
1993,0,24,750702,48.160000000000004,6.21,3005012
1993,0,25,783816,45.44,3.81,3005012
1993,0,26,176703,53.57000000000001,5.23,3005012
1993,0,27,229588,43.14,4.64,3005012
1993,0,28,481511,46.9,4.46,3005012
1993,0,29,290861,40.88,2.63,3005012
1993,0,30,827474,44.95,3.2,3005012
1993,0,31,639953,44.33,2.98,3005012
1993,0,32,856428,46.25,5.97,3005012
1993,0,33,726432,47.41,1.6900000000000002,3005012
1993,0,34,500710,44.41,3.1,3005012
1993,0,35,395787,46.830000000000005,6.239999999999999,3005012
1993,0,36,1251956,44.64,4.89,3005012
1993,0,37,163893,43.37,4.25,3005012
1993,0,38,356325,47.74,6.08,3005012
1993,0,39,189050,47.8,4.61,3005012
1993,0,40,669580,46.1,1.8,3005012
1993,0,41,221529,45.78000000000001,0.9799999999999999,3005012
1993,0,42,379809,43.32,0.47,3005012
1993,0,43,66105,49,0,3005012
1993,0,46,86788,47,0,3005012
1993,0,49,13907,80,0,3005012
1993,0,50,43684,54.54,9.87,3005012
1993,0,53,24504,52,0,3005012
1993,0,55,7625,69,0,3005012
1993,0,62,29805,57,0,3005012
1993,0,65,7683,61,0,3005012
1993,0,69,28145,61.73,0.45,3005012
1993,0,70,36059,50,0,3005012
1993,0,72,29805,57,0,3005012
1993,0,75,28646,65,0,3005012
1993,0,84,20462,62,0,3005012
1993,0,87,29805,57,0,3005012
1993,0,100,18518,63,0,3005012
1993,1,2,60239,13,0,3005012
1993,1,3,1057709,15.24,1.78,3005012
1993,1,4,293680,16.78,2.03,3005012
1993,1,5,441212,19.95,1.6900000000000002,3005012
1993,1,6,621067,22.84,2.29,3005012
1993,1,7,522967,25.25,3.74,3005012
1993,1,8,721710,27.079999999999995,4.65,3005012
1993,1,9,1733596,30.4,3.5799999999999996,3005012
1993,1,10,2328541,34.69,4.05,3005012
1993,1,11,1911474,35.49,5.97,3005012
1993,1,12,2748860,38.32,3.5,3005012
1993,1,13,2195701,38.49,4.94,3005012
1993,1,14,1239553,40.52,5.14,3005012
1993,1,15,1313912,40.02,5.18,3005012
1993,1,16,1360635,40.21,5.25,3005012
1993,1,17,1317612,40.15,4.13,3005012
1993,1,18,399021,37.98,4.48,3005012
1993,1,19,1145608,42.09,3.65,3005012
1993,1,20,629347,41.22,6,3005012
1993,1,21,755239,43.42,3.39,3005012
1993,1,22,675195,43.97,2.25,3005012
1993,1,23,1071609,43.66,2.07,3005012
1993,1,24,568467,46.08,4.98,3005012
1993,1,25,597538,44.31,4.1,3005012
1993,1,26,133603,53.39,4.98,3005012
1993,1,27,230955,42.79,4.49,3005012
1993,1,28,24894,55,0,3005012
1993,1,29,130728,41,0,3005012
1993,1,30,502830,45.31,1.64,3005012
1993,1,31,502783,43.57,2.53,3005012
1993,1,32,332556,48.31,4.35,3005012
1993,1,33,303500,47.69,1.96,3005012
1993,1,34,320387,44.55,2.95,3005012
1993,1,35,262747,46.45,3.87,3005012
1993,1,36,745295,46.74000000000001,6.36,3005012
1993,1,37,174853,43.52,4.34,3005012
1993,1,38,94830,47,0,3005012
1993,1,39,27565,57,0,3005012
1993,1,41,94830,47,0,3005012
1993,1,42,304867,43,0,3005012
1993,1,43,67446,49,0,3005012
1993,1,46,94830,47,0,3005012
1993,1,50,7625,76,0,3005012
1993,1,55,7625,69,0,3005012
1993,1,65,4880,61,0,3005012
1993,1,69,29620,61.84,0.37,3005012
1993,1,70,32230,50,0,3005012
1993,1,84,24741,62,0,3005012
1993,1,87,27565,57,0,3005012
1993,1,100,23130,63,0,3005012
1993,2,2,174802,13.219999999999999,1.3,3005012
1993,2,3,203930,15.83,1.46,3005012
1993,2,4,179350,15.35,1.08,3005012
1993,2,5,176870,22.73,4.27,3005012
1993,2,6,782211,24.12,3.71,3005012
1993,2,7,394568,24.82,3.1299999999999994,3005012
1993,2,8,642785,28.25,4.87,3005012
1993,2,9,1392282,32.22,4.83,3005012
1993,2,10,2249178,33.83,4.65,3005012
1993,2,11,2241068,35.57,5.5,3005012
1993,2,12,2811387,36.23,4.73,3005012
1993,2,13,2748014,39.01,5.24,3005012
1993,2,14,2356894,38.93,4.28,3005012
1993,2,15,1629667,40.5,5.17,3005012
1993,2,16,2665730,39.37,4.59,3005012
1993,2,17,1224533,42.02,5.45,3005012
1993,2,18,1019939,42.65,4.85,3005012
1993,2,19,482839,40.28,5.03,3005012
1993,2,20,507918,42.19,5.32,3005012
1993,2,21,476834,44.7,4.38,3005012
1993,2,23,316770,43.58,3.22,3005012
1993,2,24,118480,50.37,1.79,3005012
1993,2,25,239811,47.67,0.47,3005012
1993,2,26,48649,54.43,5.42,3005012
1993,2,28,476146,46.97,5.27,3005012
1993,2,29,147626,40,0,3005012
1993,2,30,328995,43.66,4.52,3005012
1993,2,31,123922,45.5,3.57,3005012
1993,2,32,438343,44.44,6.71,3005012
1993,2,33,384508,47.27,1.64,3005012
1993,2,34,172036,44.65,3.4000000000000004,3005012
1993,2,35,137376,47.14,8.6,3005012
1993,2,36,646326,43.36,3.02,3005012
1993,2,38,239569,48.7,7.07,3005012
1993,2,39,149661,45.59,1.9399999999999997,3005012
1993,2,40,725830,46.36,1.75,3005012
1993,2,41,137078,45,0,3005012
1993,2,42,105394,44,0,3005012
1993,2,49,13907,80,0,3005012
1993,2,50,39249,50,0,3005012
1993,2,53,12583,52,0,3005012
1993,2,62,34284,57,0,3005012
1993,2,72,34284,57,0,3005012
1993,2,75,25832,65,0,3005012
1993,3,2,137089,13.68,1.61,3005012
1993,3,3,817505,14.780000000000001,2.03,3005012
1993,3,4,232719,15.61,1.54,3005012
1993,3,5,87963,18.42,0.97,3005012
1993,3,6,49465,20.12,2.36,3005012
1993,3,7,49919,16.61,4.24,3005012
1993,3,8,10834,20.87,2.63,3005012
1993,3,9,39022,16.29,4.51,3005012
1993,3,10,14035,21.54,5.92,3005012
1993,3,11,7727,25.36,5.07,3005012
1993,3,12,28454,18.709999999999997,5.32,3005012
1993,3,13,6215,26.010000000000005,5.01,3005012
1993,3,14,2043,34.26,6.31,3005012
1993,3,15,2907,26.75,5.8,3005012
1993,3,16,2537,34.55,6.02,3005012
1993,3,17,1699,26.06,5.540000000000001,3005012
1993,3,18,288,32,0,3005012
1993,3,19,240,33,0,3005012
1993,3,20,501,25,0,3005012
1993,3,22,206,41,0,3005012
1993,3,23,411,41,0,3005012
1993,3,24,206,41,0,3005012
1993,3,29,206,41,0,3005012
1993,3,31,206,41,0,3005012
1993,3,34,206,41,0,3005012
1993,3,36,206,41,0,3005012
1993,3,37,206,41,0,3005012
1996,0,3,121224,13,0,3005012
1996,0,4,35686,15,0,3005012
1996,0,5,842786,20.539999999999996,3.06,3005012
1996,0,6,7622690,22.809999999999995,3.23,3005012
1996,0,7,722399,22.77,3.44,3005012
1996,0,8,1041757,29.84,1.61,3005012
1996,0,9,1333292,29.54,6.08,3005012
1996,0,10,1152198,29.959999999999997,5.71,3005012
1996,0,11,1136836,35.68,5.01,3005012
1996,0,12,2447614,35.84,6.32,3005012
1996,0,13,2047540,37.8,5.02,3005012
1996,0,14,3686366,36.67,6.15,3005012
1996,0,15,3386506,39,6.289999999999999,3005012
1996,0,16,3228819,39.28,5.07,3005012
1996,0,17,2551669,40.73,4.13,3005012
1996,0,18,1392389,40.33,5.33,3005012
1996,0,19,1601453,41.35,4.9,3005012
1996,0,20,1627579,42.21,5.1,3005012
1996,0,21,928905,42.31,4.67,3005012
1996,0,22,946317,43.52,3.51,3005012
1996,0,23,808462,43.14,3.58,3005012
1996,0,24,399252,44.12,4.04,3005012
1996,0,25,601968,44.71,4.55,3005012
1996,0,26,703012,45.85,5.42,3005012
1996,0,27,286132,46.88,4.5,3005012
1996,0,28,467056,45.35,4.64,3005012
1996,0,29,211702,50.04,0.88,3005012
1996,0,30,501078,45.22,3.39,3005012
1996,0,31,336456,45.36,4.76,3005012
1996,0,32,340364,47.27,4.92,3005012
1996,0,33,538676,45.38,2.68,3005012
1996,0,34,727518,45.09,2.82,3005012
1996,0,35,919988,46.96000000000001,3.3100000000000005,3005012
1996,0,36,329282,47.08,1.7999999999999998,3005012
1996,0,37,280725,47.98,2.48,3005012
1996,0,38,239434,48.9,5.07,3005012
1996,0,39,330074,46.91,1.22,3005012
1996,0,40,278729,50.01,4.81,3005012
1996,0,41,300350,44.99,3.59,3005012
1996,0,42,280464,45.04,4.21,3005012
1996,0,43,441923,50.17,5.59,3005012
1996,0,44,340562,47.43,2.92,3005012
1996,0,45,72097,51.76,2.39,3005012
1996,0,46,46255,51.7,2.82,3005012
1996,0,47,57456,53.18,3.86,3005012
1996,0,50,2710,63,0,3005012
1996,0,51,2710,63,0,3005012
1996,0,57,25320,55,0,3005012
1996,0,63,31076,57,0,3005012
1996,0,65,43545,51,0,3005012
1996,0,71,31076,57,0,3005012
1996,0,74,13937,58,0,3005012
1996,0,94,46777,50,0,3005012
1996,1,3,110852,13,0,3005012
1996,1,4,12575,15,0,3005012
1996,1,5,519528,20.48,3.57,3005012
1996,1,6,3386408,22.71,3.09,3005012
1996,1,7,318152,22.18,2.49,3005012
1996,1,8,459162,30.18,0.8,3005012
1996,1,9,789948,25.24,6.54,3005012
1996,1,10,469109,30.759999999999998,7.58,3005012
1996,1,11,289776,38.86,3.6299999999999994,3005012
1996,1,12,1711568,35.36,6.32,3005012
1996,1,13,916137,37.690000000000005,4.53,3005012
1996,1,14,1622703,36.93,5.41,3005012
1996,1,15,2092253,38.93,6.46,3005012
1996,1,16,1437507,39.02,4.23,3005012
1996,1,17,1172444,40.51,4.11,3005012
1996,1,18,702651,39.24,4.89,3005012
1996,1,19,829624,42.04,4.94,3005012
1996,1,20,821863,43.47,3.54,3005012
1996,1,21,472862,43.77,4.18,3005012
1996,1,22,265678,44.4,3,3005012
1996,1,23,307227,42.94,3.34,3005012
1996,1,24,86385,44,0,3005012
1996,1,25,66688,44.62,7.45,3005012
1996,1,26,425194,44.89999999999999,4.88,3005012
1996,1,27,119751,45.67,2.69,3005012
1996,1,28,140748,48.07,3.47,3005012
1996,1,29,78612,50.19,0.98,3005012
1996,1,30,364658,44.57,3.5700000000000003,3005012
1996,1,31,268103,45.23,5,3005012
1996,1,33,184931,45.04,2.8899999999999997,3005012
1996,1,34,193360,45.06999999999999,4.9,3005012
1996,1,35,404786,46.66,2.4,3005012
1996,1,36,181828,46.690000000000005,0.9500000000000001,3005012
1996,1,37,203791,48.05,2.89,3005012
1996,1,38,83161,43.75,3.6000000000000005,3005012
1996,1,39,67659,47,0,3005012
1996,1,40,23625,56.25,1.48,3005012
1996,1,41,146204,45.58,3.44,3005012
1996,1,42,218788,44.83,3.7399999999999998,3005012
1996,1,43,121752,56.54,1.3,3005012
1996,1,44,175220,48,3.27,3005012
1996,1,45,47149,51.46,2.27,3005012
1996,1,46,49526,51.71,2.8300000000000005,3005012
1996,1,50,2932,63,0,3005012
1996,1,57,13784,55,0,3005012
1996,1,63,27875,57,0,3005012
1996,1,65,46594,51,0,3005012
1996,1,71,27875,57,0,3005012
1996,1,94,33365,50,0,3005012
1996,2,5,415144,21.370000000000005,0.93,3005012
1996,2,6,3502234,23.3,2.77,3005012
1996,2,7,524895,23.62,3.54,3005012
1996,2,8,568898,29.66,2.14,3005012
1996,2,9,835011,30.8,5.28,3005012
1996,2,10,733377,29.919999999999998,3.62,3005012
1996,2,11,1015211,33.97,5.03,3005012
1996,2,12,652281,38.54,5.87,3005012
1996,2,13,1186976,37.88,5.07,3005012
1996,2,14,1969149,36.69,6.86,3005012
1996,2,15,1355336,39.22,6.29,3005012
1996,2,16,1816419,39.13,5.98,3005012
1996,2,17,1354859,41.19,3.7300000000000004,3005012
1996,2,18,657711,41.57,5.44,3005012
1996,2,19,790490,40.83,4.49,3005012
1996,2,20,760231,39.66,4.91,3005012
1996,2,21,463565,40.57,4.59,3005012
1996,2,22,662185,42.82,3.7400000000000007,3005012
1996,2,23,478244,42.6,4.09,3005012
1996,2,24,377098,46.13999999999999,5.72,3005012
1996,2,25,429735,43.71,2.81,3005012
1996,2,26,189849,44.53,2.03,3005012
1996,2,27,181727,47.43,5.21,3005012
1996,2,28,298383,44.4,4.72,3005012
1996,2,29,145828,49.98,0.76,3005012
1996,2,30,151042,47.07,2.46,3005012
1996,2,31,69184,47,0,3005012
1996,2,32,282259,47.04,4.7,3005012
1996,2,33,353733,45.49,2.49,3005012
1996,2,34,509280,45.16,1.42,3005012
1996,2,35,452625,46.24,2.88,3005012
1996,2,36,194560,47.5,2.31,3005012
1996,2,37,72778,48,0,3005012
1996,2,38,186939,50.94,3.07,3005012
1996,2,39,242086,47.08,1.44,3005012
1996,2,40,214317,48.55,3.54,3005012
1996,2,41,137198,43.49,0.5,3005012
1996,2,42,53095,42,0,3005012
1996,2,43,300407,47.67,4.19,3005012
1996,2,44,201320,46.55,1.56,3005012
1996,2,47,60542,54.07,4.27,3005012
1996,2,51,2489,63,0,3005012
1996,2,74,26224,58,0,3005012
1996,3,5,2592,16,0,3005012
1996,3,6,18452,13.69,2.48,3005012
1996,3,9,1728,18,0,3005012
1999,0,4,2173188,16.15,1.94,3005012
1999,0,5,2338289,19.29,3.16,3005012
1999,0,6,1421059,22.53,2.02,3005012
1999,0,7,1881277,24.66,4.03,3005012
1999,0,8,2706999,26.54,5.4,3005012
1999,0,9,6930022,28.48,5.98,3005012
1999,0,10,2916247,28.79,7.48,3005012
1999,0,11,2271650,31.05,7.35,3005012
1999,0,12,996516,33.06,5.74,3005012
1999,0,13,2159773,34.58,6.55,3005012
1999,0,14,2235297,34.93,7.580000000000001,3005012
1999,0,15,1686472,37.44,6.98,3005012
1999,0,16,2466153,36.84,6.47,3005012
1999,0,17,1993199,39.16,4.8,3005012
1999,0,18,2866476,38.93,5.14,3005012
1999,0,19,1631116,35.33,6.35,3005012
1999,0,20,2038136,40.02000000000001,5.11,3005012
1999,0,21,1009320,41.9,4.86,3005012
1999,0,22,1138405,41.53,3.96,3005012
1999,0,23,882889,42.36,6.09,3005012
1999,0,24,756818,43.52,4.26,3005012
1999,0,25,494276,41.13,3.32,3005012
1999,0,26,309736,47.08,2.7,3005012
1999,0,27,366522,45.5,5.15,3005012
1999,0,28,672299,45.26,2.09,3005012
1999,0,29,454094,48.23,3.9,3005012
1999,0,30,309919,44.97,2.61,3005012
1999,0,31,487409,46.04,3.64,3005012
1999,0,32,249491,44.79,3.13,3005012
1999,0,33,262143,45.9,3.69,3005012
1999,0,34,392611,47.66,2.6,3005012
1999,0,35,279905,49.03,4.3,3005012
1999,0,36,754689,46.5,2.01,3005012
1999,0,37,323837,45.17,3.6199999999999997,3005012
1999,0,38,208449,47.93999999999999,1.7199999999999998,3005012
1999,0,39,231206,48.8,3.27,3005012
1999,0,40,240691,46.72,3.51,3005012
1999,0,41,228303,45.83,3.08,3005012
1999,0,43,200645,44.89,3.21,3005012
1999,0,44,217605,46.02000000000001,2.44,3005012
1999,0,45,33537,53,0,3005012
1999,0,46,41135,54,0,3005012
1999,0,49,98858,47,0,3005012
1999,0,50,64010,51.54,2.62,3005012
1999,0,56,50747,58,0,3005012
1999,0,72,33537,53,0,3005012
1999,0,92,73764,55,0,3005012
1999,0,129,59151,59,0,3005012
1999,1,4,695942,17.36,0.8700000000000001,3005012
1999,1,5,1025574,20.82,2.68,3005012
1999,1,6,493974,21.7,1.23,3005012
1999,1,7,991167,24.07,4.12,3005012
1999,1,8,1124921,26.71,5.66,3005012
1999,1,9,3697540,28.59,6.089999999999999,3005012
1999,1,10,1476095,27.79,8.61,3005012
1999,1,11,650874,32.18,3.5499999999999994,3005012
1999,1,12,515930,34.38,6,3005012
1999,1,13,1306976,34.62,7.200000000000001,3005012
1999,1,14,1415919,33.06,8.26,3005012
1999,1,15,728275,36.21,7.28,3005012
1999,1,16,1514662,36.03,5.4,3005012
1999,1,17,687258,40.95,5.57,3005012
1999,1,18,1539688,38.1,5.47,3005012
1999,1,19,647130,38.49,5.17,3005012
1999,1,20,1124387,38.72,5.86,3005012
1999,1,21,277816,42.3,2.71,3005012
1999,1,22,339872,39.2,3.52,3005012
1999,1,23,515544,45.32,2.56,3005012
1999,1,24,248824,46.46,4.63,3005012
1999,1,25,278878,39.9,1.8899999999999997,3005012
1999,1,26,89275,43,0,3005012
1999,1,27,85504,44,0,3005012
1999,1,28,358188,45.78,2.44,3005012
1999,1,29,280214,47.56,1.9300000000000002,3005012
1999,1,30,157211,47.57,1.9500000000000002,3005012
1999,1,31,313230,46.44,2.17,3005012
1999,1,32,153454,44.44,2.97,3005012
1999,1,33,150869,45.86,3.44,3005012
1999,1,34,201571,49.94,1.51,3005012
1999,1,35,166907,46.05,1,3005012
1999,1,36,452907,46.4,1.59,3005012
1999,1,37,336012,46.5,3.8899999999999997,3005012
1999,1,38,88218,49,0,3005012
1999,1,39,120003,48.080000000000005,4.27,3005012
1999,1,40,181784,49.21,1.09,3005012
1999,1,41,91874,42,0,3005012
1999,1,43,44157,51,0,3005012
1999,1,44,44157,51,0,3005012
1999,1,45,28973,53,0,3005012
1999,1,50,61594,50,0,3005012
1999,1,56,25279,58,0,3005012
1999,1,72,28973,53,0,3005012
1999,1,129,41327,59,0,3005012
1999,2,4,881250,16.61,1.7,3005012
1999,2,5,1313805,18.77,2.9,3005012
1999,2,6,798373,23.4,2.28,3005012
1999,2,7,809373,26.08,3.9200000000000004,3005012
1999,2,8,1538074,26.74,4.76,3005012
1999,2,9,3379463,28.18,5.89,3005012
1999,2,10,1333509,30.52,5.89,3005012
1999,2,11,1754954,30.259999999999998,9,3005012
1999,2,12,451414,31.62,4.88,3005012
1999,2,13,816649,33.45,5.71,3005012
1999,2,14,853342,36.7,5.95,3005012
1999,2,15,990603,38.02,6.67,3005012
1999,2,16,954578,37.97,7.64,3005012
1999,2,17,1288069,38.29,3.79,3005012
1999,2,18,1414374,40.04,4.48,3005012
1999,2,19,900115,33.3,6.12,3005012
1999,2,20,919029,41.43,4.06,3005012
1999,2,21,646908,41.76,5.35,3005012
1999,2,22,709047,42.68,3.43,3005012
1999,2,23,374652,38.06,6.559999999999999,3005012
1999,2,24,543390,42.2,3.65,3005012
1999,2,25,273501,42.37,3.07,3005012
1999,2,26,190474,48.66,0.78,3005012
1999,2,27,234456,45.59,6.010000000000001,3005012
1999,2,28,325152,44.87,1.76,3005012
1999,2,29,135779,47.13,1.45,3005012
1999,2,30,171655,43.14,0.9900000000000001,3005012
1999,2,31,238033,44.19,5.05,3005012
1999,2,32,51208,48,0,3005012
1999,2,33,136187,46.52,4.04,3005012
1999,2,34,219354,45.7,1.27,3005012
1999,2,35,30566,52,0,3005012
1999,2,36,315018,46.42,2.05,3005012
1999,2,38,121774,47.22,1.84,3005012
1999,2,39,81136,49.74,0.97,3005012
1999,2,40,73569,42,0,3005012
1999,2,41,153334,47.72,1.28,3005012
1999,2,43,157642,43.6,1.5,3005012
1999,2,44,182833,44.93,1,3005012
1999,2,46,41222,54,0,3005012
1999,2,49,116307,47,0,3005012
1999,2,50,24480,56,0,3005012
1999,2,92,46017,55,0,3005012
1999,3,4,152307,13.58,1.85,3005012
1999,3,5,51551,15.59,2.69,3005012
1999,3,6,3673,22,0,3005012
1999,3,8,3673,22,0,3005012
1999,3,9,3673,22,0,3005012
1999,3,10,5640,19.3,1.87,3005012
1999,3,13,1837,22,0,3005012
2003,0,2,868797,10.88,0.6399999999999999,3005012
2003,0,3,1386010,13.660000000000002,2.37,3005012
2003,0,4,788128,15.71,1.87,3005012
2003,0,5,3251190,20.21,2.48,3005012
2003,0,6,2383354,22.1,4.23,3005012
2003,0,7,1396105,25.61,5.18,3005012
2003,0,8,2688846,27.08,5.14,3005012
2003,0,9,2504123,26.59,4.69,3005012
2003,0,10,1217156,28.59,4.85,3005012
2003,0,11,951886,29.1,4.48,3005012
2003,0,12,1805530,32.36,5.24,3005012
2003,0,13,1892118,32.22,5.33,3005012
2003,0,14,1977684,36.6,5.58,3005012
2003,0,15,729434,40.57,6.42,3005012
2003,0,16,1437947,35.06,5.7,3005012
2003,0,17,1248797,41.66,5.72,3005012
2003,0,18,903471,40.74,4.45,3005012
2003,0,19,750242,42.64,3.94,3005012
2003,0,20,2365148,39.59,6.06,3005012
2003,0,21,1227148,40.61,3.21,3005012
2003,0,22,1939129,40.82,4.95,3005012
2003,0,23,1946582,42.39,3.6,3005012
2003,0,24,1294304,42.91,4.17,3005012
2003,0,25,1319862,44.37,3,3005012
2003,0,26,1449890,44.5,2.64,3005012
2003,0,27,787172,43.54999999999999,3.1900000000000004,3005012
2003,0,28,560146,46.21,4.48,3005012
2003,0,29,581714,47.35,2.6,3005012
2003,0,30,616739,45.03,4.22,3005012
2003,0,31,580906,45.99,5.38,3005012
2003,0,32,536058,44.66,1.66,3005012
2003,0,33,652664,44.95,2.34,3005012
2003,0,34,297263,46.49,3.68,3005012
2003,0,35,321703,44.55,3.55,3005012
2003,0,36,323743,46.49,1.93,3005012
2003,0,37,221412,45.51,5.25,3005012
2003,0,38,166242,49.28,0.45000000000000007,3005012
2003,0,39,45824,50,0,3005012
2003,0,40,222505,49.69,2.35,3005012
2003,0,41,219036,45.6,5.63,3005012
2003,0,42,757569,47.29,1.57,3005012
2003,0,43,394707,45.95,2.07,3005012
2003,0,44,365618,48.32999999999999,5.98,3005012
2003,0,45,170503,44.16,5.7,3005012
2003,0,46,222685,49.48,2.7,3005012
2003,0,48,23031,55.779999999999994,1.32,3005012
2003,0,49,203325,45,0,3005012
2003,0,50,68993,51.34,1.89,3005012
2003,0,51,45824,50,0,3005012
2003,0,52,8638,61,0,3005012
2003,0,53,72668,51,0,3005012
2003,0,54,45824,50,0,3005012
2003,0,55,172029,47,0,3005012
2003,0,59,19014,64,0,3005012
2003,0,62,141379,48,0,3005012
2003,0,63,90792,53,0,3005012
2003,0,65,158391,48.75,2.17,3005012
2003,0,66,72668,51,0,3005012
2003,0,68,37253,61.35000000000001,1.47,3005012
