year,species_code,sex,sex_desc,iss,nss,nhls
1988,10115,2,female,57.621715171387756,191,40
1988,10115,4,total_post,108.20529280404278,414,58
1988,10115,12,female_male,109.2267068659736,382,48
1988,10130,0,total_pre,1539.7659313513482,14336,207
1988,10130,1,male,1052.611181948502,6831,197
1988,10130,2,female,1191.9377723245257,7253,201
1988,10130,4,total_post,1539.7659371975558,14336,207
1988,10130,12,female_male,2186.4932909664067,14084,207
1988,10210,0,total_pre,1606.414668834331,27138,254
1988,10210,1,male,903.9521797663443,9918,216
1988,10210,2,female,1473.6536485356212,17219,254
1988,10210,4,total_post,1606.4146690669177,27138,254
1988,10210,12,female_male,2271.091945824696,27137,254
1988,10285,0,total_pre,626.4863366761896,7079,170
1988,10285,1,male,479.85493190143046,3290,139
1988,10285,2,female,443.2468805968754,3789,165
1988,10285,4,total_post,626.4863378738761,7079,170
1988,10285,12,female_male,685.7693065509585,7079,170
1988,21720,0,total_pre,1649.9464121591682,6765,339
1988,21720,1,male,878.661607862692,3381,307
1988,21720,2,female,855.0080324359196,3335,316
1988,21720,4,total_post,1649.9464628376945,6765,339
1988,21720,12,female_male,1726.9276657252478,6716,338
1988,21740,0,total_pre,1986.7122654873997,101211,361
1988,21740,1,male,1242.1043479921575,39152,326
1988,21740,2,female,1690.8161190838812,42165,334
1988,21740,4,total_post,1986.7122614824336,101211,361
1988,21740,12,female_male,2702.4448399825574,81317,343
1989,10110,0,total_pre,1326.513812528387,8261,173
1989,10110,1,male,610.5414339497502,3001,153
1989,10110,2,female,1033.5352005883722,5201,168
1989,10110,4,total_post,1326.5138132329516,8261,173
1989,10110,12,female_male,1624.5179685272672,8202,173
1989,10112,0,total_pre,98.13789635737976,424,33
1989,10112,1,male,61.89487823507708,241,31
1989,10112,2,female,49.31485853367209,183,29
1989,10112,4,total_post,98.13789589436071,424,33
1989,10112,12,female_male,111.02742657079222,424,33
1989,10115,0,total_pre,107.70685843214787,376,56
1989,10115,1,male,59.422347652362625,201,46
1989,10115,2,female,51.449435307221485,164,35
1989,10115,4,total_post,107.70685624761214,376,56
1989,10115,12,female_male,109.81218204405168,365,52
1989,10130,0,total_pre,994.9032675796078,15617,258
1989,10130,1,male,544.9354744189509,7314,246
1989,10130,2,female,1036.9426095086274,7737,249
1989,10130,4,total_post,994.9032695173487,15617,258
1989,10130,12,female_male,1403.389624408905,15051,257
1989,10210,0,total_pre,2065.1488695698336,29672,236
1989,10210,1,male,1183.0888508404507,12084,221
1989,10210,2,female,1871.4138867328954,17588,234
1989,10210,4,total_post,2065.148867752411,29672,236
1989,10210,12,female_male,2945.2680300665916,29672,236
1989,10285,0,total_pre,1525.2532409215157,7741,207
1989,10285,1,male,989.4459807370079,3799,158
1989,10285,2,female,909.8397029176188,3942,202
1989,10285,4,total_post,1525.253240441242,7741,207
1989,10285,12,female_male,1559.8347484223514,7741,207
1989,21720,0,total_pre,1190.3465129214644,4246,293
1989,21720,1,male,617.7237176183544,2144,276
1989,21720,2,female,635.0212805288969,2083,269
1989,21720,4,total_post,1190.346467168585,4246,293
1989,21720,12,female_male,1253.263420445766,4227,291
1989,21740,0,total_pre,1801.6796181917077,79967,350
1989,21740,1,male,1460.1994909325074,31819,334
1989,21740,2,female,1253.6932869752636,29380,337
1989,21740,4,total_post,1801.6796156560638,79967,350
1989,21740,12,female_male,2590.9968378039885,61199,349
1990,10110,0,total_pre,1536.243513696379,6589,140
1990,10110,1,male,635.3097018627785,2161,128
1990,10110,2,female,1099.005707101114,4426,135
1990,10110,4,total_post,1536.243522520352,6589,140
1990,10110,12,female_male,1699.6370985030555,6587,140
1990,10112,0,total_pre,159.91000506277078,643,51
1990,10112,1,male,81.5636696783809,306,46
1990,10112,2,female,88.10594400613739,337,47
1990,10112,4,total_post,159.9100045377855,643,51
1990,10112,12,female_male,167.25295367742925,643,51
1990,10115,0,total_pre,197.16121686730605,544,62
1990,10115,1,male,78.05231667368814,221,29
1990,10115,2,female,78.90933019340369,182,34
1990,10115,4,total_post,197.16121047467766,544,62
1990,10115,12,female_male,156.12658161160104,403,42
1990,10130,0,total_pre,2068.1107539744894,15823,261
1990,10130,1,male,1208.6999255468518,8135,238
1990,10130,2,female,1439.8497417903832,7677,258
1990,10130,4,total_post,2068.1107584013794,15823,261
1990,10130,12,female_male,2538.8627276429743,15812,261
1990,10210,0,total_pre,2287.2649184872903,30257,251
1990,10210,1,male,1295.8948996139704,11951,218
1990,10210,2,female,1895.3527665532454,18297,251
1990,10210,4,total_post,2287.2649170260684,30257,251
1990,10210,12,female_male,3127.8520712946574,30248,251
1990,10285,0,total_pre,1335.7691262959643,7739,215
1990,10285,1,male,693.7710189911612,3654,178
1990,10285,2,female,1103.2317230138292,4085,209
1990,10285,4,total_post,1335.769133039999,7739,215
1990,10285,12,female_male,1380.2678179336435,7739,215
1990,21720,0,total_pre,1218.0217868477134,5428,329
1990,21720,1,male,623.9825143034939,2389,300
1990,21720,2,female,666.3046544064445,2388,298
1990,21720,4,total_post,1218.0217902314878,5428,329
1990,21720,12,female_male,1283.9245632824336,4777,317
1990,21740,0,total_pre,1440.3771980331978,106523,353
1990,21740,1,male,1057.36599923672,36950,314
1990,21740,2,female,1253.113594994048,37108,321
1990,21740,4,total_post,1440.3771970337534,106523,353
1990,21740,12,female_male,2231.0341026244373,74058,333
1991,10110,0,total_pre,1253.7214141125569,5720,140
1991,10110,1,male,473.8716192374267,1770,119
1991,10110,2,female,961.1167129124592,3943,132
1991,10110,4,total_post,1253.7214136730947,5720,140
1991,10110,12,female_male,1410.1247378083494,5713,139
1991,10112,0,total_pre,299.7082271867463,1056,92
1991,10112,1,male,173.59772216721493,510,82
1991,10112,2,female,148.2249284373216,546,80
1991,10112,4,total_post,299.7082324962927,1056,92
1991,10112,12,female_male,306.6233796387609,1056,92
1991,10115,0,total_pre,192.60780801416684,658,65
1991,10115,1,male,109.79179182355952,358,53
1991,10115,2,female,86.82008349293054,236,50
1991,10115,4,total_post,192.60783832991893,658,65
1991,10115,12,female_male,195.20392610820923,594,62
1991,10130,0,total_pre,817.5446544201378,16357,278
1991,10130,1,male,569.0903556243251,8164,257
1991,10130,2,female,573.424326475805,7879,275
1991,10130,4,total_post,817.5446521886922,16357,278
1991,10130,12,female_male,1054.5746880506244,16043,278
1991,10210,0,total_pre,3486.7051906732945,27986,248
1991,10210,1,male,1827.2649937968283,11215,232
1991,10210,2,female,2788.9722540833422,16771,246
1991,10210,4,total_post,3486.7051850545613,27986,248
1991,10210,12,female_male,4386.775893279835,27986,248
1991,10285,0,total_pre,1504.111057088844,8163,235
1991,10285,1,male,856.574183061229,3919,177
1991,10285,2,female,980.779481280117,4243,227
1991,10285,4,total_post,1504.1110550375533,8163,235
1991,10285,12,female_male,1605.9154945164933,8162,235
1991,21720,0,total_pre,1129.7639652114992,7001,313
1991,21720,1,male,929.0662830617053,3226,287
1991,21720,2,female,948.1268302563798,3231,292
1991,21720,4,total_post,1129.7639801460678,7001,313
1991,21720,12,female_male,1874.8212960663443,6457,311
1991,21740,0,total_pre,832.26586396473,137950,366
1991,21740,1,male,600.1964570261633,36019,327
1991,21740,2,female,523.4509415690312,33280,336
