year,species_code,sex,sex_desc,length,iss,nss,nhl
1982,10115,0,total,36,4.016574703442144,10,5
1982,10115,0,total,36,4.016574703442144,10,3
1982,10115,0,total,37,2.1735600190091393,10,3
1982,10115,0,total,37,2.1735600190091393,10,3
1982,10115,0,total,38,2.0017878348146083,9,2
1982,10115,0,total,38,2.0017878348146083,9,4
1982,10115,0,total,39,4.782556058483078,10,4
1982,10115,0,total,39,4.782556058483078,10,4
1982,10115,0,total,40,1.1054715277726366,10,4
1982,10115,0,total,40,1.1054715277726366,10,3
1982,10115,0,total,41,1.1495727133077807,7,1
1982,10115,0,total,41,1.1495727133077807,7,3
1982,10115,0,total,42,1.5067098496951934,10,3
1982,10115,0,total,42,1.5067098496951934,10,2
1982,10115,0,total,43,4.119073476035841,8,2
1982,10115,0,total,43,4.119073476035841,8,3
1982,10115,0,total,44,5.497737163254545,5,1
1982,10115,0,total,44,5.497737163254545,5,2
1982,10115,0,total,45,3.8576658751830615,9,1
1982,10115,0,total,45,3.8576658751830615,9,5
1982,10115,0,total,46,3.690994955336879,7,2
1982,10115,0,total,46,3.690994955336879,7,4
1982,10115,0,total,47,3.029994986241885,6,3
1982,10115,0,total,47,3.029994986241885,6,1
1982,10115,0,total,48,0.9670329670329669,6,2
1982,10115,0,total,48,0.9670329670329669,6,3
1982,10115,0,total,49,3.4782608695652177,4,4
1982,10115,0,total,50,0.7465439853021353,5,3
1982,10115,0,total,50,0.7465439853021353,5,2
1982,10115,0,total,51,0.7792207792207791,2,2
1982,10115,0,total,52,1.0353753235547885,2,1
1982,10115,0,total,52,1.0353753235547885,2,1
1982,10115,0,total,53,0.47058823529411753,1,1
1982,10115,0,total,54,1.2000000000000002,1,1
1982,10115,1,male,15,2.8703703703703702,5,1
1982,10115,1,male,16,2.3655913978494625,5,4
1982,10115,1,male,17,4.788732394366198,5,4
1982,10115,1,male,18,3.580110497237569,6,5
1982,10115,1,male,19,1.483410631466286,3,3
1982,10115,1,male,20,NA,2,2
1982,10115,1,male,21,1.824884792626728,3,3
1982,10115,1,male,22,2.341785198928056,6,3
1982,10115,1,male,23,1.4457831325301205,5,3
1982,10115,1,male,24,5.090909090909092,4,2
1982,10115,1,male,25,1.2857142857142856,2,2
1982,10115,1,male,26,1.8886239304250243,5,1
1982,10115,1,male,27,3.121975743103124,5,2
1982,10115,1,male,28,7.946488294314381,3,2
1982,10115,1,male,29,3.356353591160221,3,3
1982,10115,1,male,30,3.979156797726197,5,5
1982,10115,1,male,31,1.8493863954110543,5,4
1982,10115,1,male,32,2.247765006385696,4,4
1982,10115,1,male,33,1.5113350125944582,5,2
1982,10115,1,male,34,1.033112582781457,4,4
1982,10115,1,male,35,2.102425876010782,4,3
1982,10115,1,male,36,4.25637329970273,5,5
1982,10115,1,male,37,1.7163550402997647,5,3
1982,10115,1,male,38,2.6987674546786544,5,2
1982,10115,1,male,39,2.6122448979591835,4,4
1982,10115,1,male,40,2.238814479947596,5,4
1982,10115,1,male,41,3,2,1
1982,10115,1,male,42,1.1719253058596266,5,3
1982,10115,1,male,43,3.2245978034330145,3,2
1982,10115,1,male,44,0.9982486865148862,2,1
1982,10115,1,male,45,2.0232296740352194,3,1
1982,10115,1,male,46,3.7297297297297303,2,2
1982,10115,1,male,47,2.6334431547468196,4,3
1982,10115,1,male,48,1,2,2
1982,10115,1,male,50,1.125,3,3
1982,10115,1,male,52,1,1,1
1982,10115,2,female,15,NA,4,3
1982,10115,2,female,16,3.6320754716981134,5,2
1982,10115,2,female,17,4.500000000000001,5,4
1982,10115,2,female,18,1.4754098360655739,5,3
1982,10115,2,female,20,0.5,1,1
1982,10115,2,female,21,2.5798525798525795,3,2
1982,10115,2,female,22,3.0741885625965994,4,3
1982,10115,2,female,23,6.833378236057702,5,2
1982,10115,2,female,24,2.2972972972972974,6,4
1982,10115,2,female,25,1.8294959551960177,7,5
1982,10115,2,female,26,4.976958525345622,3,1
1982,10115,2,female,27,3.692539562923888,5,3
1982,10115,2,female,28,1.913764333592063,5,4
1982,10115,2,female,29,1.5,1,1
1982,10115,2,female,30,1.4214463840399003,3,2
1982,10115,2,female,31,3.274026772261718,4,3
1982,10115,2,female,32,1.024390243902439,3,2
